Name,Address,Phone,ZIP,Primary Category,Category Name
Flamingo Bowl,501 N 8th St,(314) 241-1999,63101,Bowling,Retro Bowling Alley
Tropicana Lanes,7960 Clayton Rd,(314) 721-1999,63105,Bowling,Classic Lanes
The Pageant,6161 Delmar Blvd,(314) 726-1999,63112,Live Music,Concert Venue
The Fabulous Fox Theatre,527 N Grand Blvd,(314) 534-1999,63103,Theater,Historic Performing Arts
Stifel Theatre,1400 Market St,(314) 622-1999,63103,Theater,Concert Hall
The Sheldon Concert Hall,3648 Washington Ave,(314) 533-1999,63108,Music,Acoustic Performance
Blueberry Hill,6504 Delmar Blvd,(314) 727-1999,63130,Live Music,Rock & Roll Club
Ballpark Village,601 Clark Ave,(314) 345-1999,63102,Entertainment,Sports District
Six Flags St. Louis,4900 Six Flags Rd,(636) 938-1999,63040,Amusement,Theme Park
Union Station Aquarium,201 S 18th St,(314) 923-1999,63103,Attraction,Marine Experience
The Wheel at Union Station,1820 Market St,(314) 923-1999,63103,Attraction,Observation Wheel
Purina Farms,200 Checkerboard Cir,(636) 688-1999,63304,Attraction,Animal Experience
Butterfly House,15193 Olive Blvd,(636) 530-1999,63017,Attraction,Conservatory
The Dark Room,3610 Grandel Square,(314) 925-1999,63108,Comedy,Improv Theater
Funny Bone,614 W Port Plaza Dr,(314) 469-1999,63301,Comedy,National Chain Club
The Improv Shop,3960 Chouteau Ave,(314) 555-1004,63110,Comedy,Local Comedy Theater
City Winery,3730 Foundry Way,(314) 678-1999,63110,Music,Winery & Venue
Delmar Hall,6133 Delmar Blvd,(314) 726-1999,63112,Music,Mid-Size Venue
The Big Top,3401 Washington Ave,(314) 555-1005,63103,Music,Circus-Themed Bar
The Ready Room,4195 Manchester Ave,(314) 833-1999,63110,Music,Indie Venue
Jazz St. Louis,3536 Washington Ave,(314) 571-1999,63103,Music,Jazz Club
The Muny,1 Theatre Dr,(314) 361-1999,63112,Theater,Outdoor Musical Theater
The Rep,130 Edgar Rd,(314) 968-1999,63119,Theater,Professional Theater
Club Fitness,1234 Hampton Ave,(314) 555-0101,63139,Gym,Full-Service Fitness
The Lab Gym,5678 Manchester Rd,(314) 555-0202,63110,Gym,Strength Training
YMCA South City,9100 Gravois Rd,(314) 555-0303,63123,Community Center,Non-Profit Gym
Planet Fitness,4321 Lindell Blvd,(314) 555-0404,63108,Gym,Budget Fitness
Orangetheory Fitness,789 Central Ave,(314) 555-0505,63105,Studio,HIIT Workouts
Pure Barre,456 Delmar Blvd,(314) 555-0606,63130,Studio,Barre Workouts
CrossFit Soulard,321 S 9th St,(314) 555-0707,63104,CrossFit,Functional Fitness
St. Louis Barbell,8764 Natural Bridge Rd,(314) 555-0808,63121,Gym,Powerlifting
Burn Boot Camp,5432 Clayton Ave,(314) 555-0909,63139,Studio,Group Fitness
Title Boxing Club,7654 Chippewa St,(314) 555-1010,63109,Studio,Boxing Fitness
Jazzercise St. Louis,2345 Arsenal St,(314) 555-1111,63118,Studio,Dance Fitness
Fit City STL,6789 Kingshighway,(314) 555-1212,63130,Gym,Boutique Fitness
The Heights,3456 Richmond Ave,(314) 555-1313,63143,Gym,Full-Service
CycleBar Central West End,123 Euclid Ave,(314) 555-1414,63108,Studio,Cycling
Yoga Six,7895 Big Bend Blvd,(314) 555-1515,63119,Studio,Yoga
Anytime Fitness,4325 Gravois Ave,(314) 555-1616,63116,Gym,24/7 Access
F45 Training,9876 Olive Blvd,(314) 555-1717,63132,Studio,Functional Training
St. Louis Gymnasium,6543 Page Ave,(314) 555-1818,63133,Gym,Gymnastics
Iron Tribe Fitness,3210 Hampton Ave,(314) 555-1919,63139,Studio,Group Training
9Round,5431 S Grand Blvd,(314) 555-2020,63111,Studio,Kickboxing
The Boxing Gym,8765 N Broadway,(314) 555-2121,63102,Gym,Boxing
Fitness Factory,1234 Cherokee St,(314) 555-2222,63118,Gym,Bodybuilding
St. Louis Yoga Club,5678 Delmar Blvd,(314) 555-2323,63112,Studio,Yoga
UFC Gym St. Louis,9100 St. Charles Rock Rd,(314) 555-2424,63114,Gym,MMA Fitness
Vetta Sports (Soccer),3456 Dougherty Ferry Rd,(314) 555-2525,63122,Sports Complex,Soccer Training
Rockwell Fitness,7890 Clayton Rd,(314) 555-2626,63105,Gym,Luxury Fitness
Sweat STL,1234 Washington Ave,(314) 555-2727,63103,Studio,HIIT
The Sweat House,5678 Natural Bridge Rd,(314) 555-2828,63120,Gym,Bootcamp
Yoga Source,901 Locust St,(314) 555-2929,63101,Studio,Yoga
St. Louis Climb So Ill,1500 S 8th St,(314) 555-3030,63104,Climbing Gym,Rock Climbing
The MX Gym,4321 Chouteau Ave,(314) 555-3131,63110,Gym,Athletic Performance
Pure Power Gym,7655 Gravois Ave,(314) 555-3232,63116,Gym,Powerlifting
St. Louis Kettlebell Club,1234 Morganford Rd,(314) 555-3333,63116,Studio,Kettlebell Training
Barre3,5678 Ladue Rd,(314) 555-3434,63124,Studio,Barre
The Pilates Standard,7890 Wydown Blvd,(314) 555-3535,63105,Studio,Pilates
St. Louis Jiu-Jitsu,1234 Hampton Ave,(314) 555-3636,63139,Martial Arts,BJJ Gym
Midtown Athletic Club,4321 Forest Park Ave,(314) 555-3737,63108,Luxury Gym,Full-Service
Fit City Chesterfield,8765 Olive Blvd,(314) 555-3838,63005,Gym,Boutique Fitness
The Gym STL,5432 Kingshighway,(314) 555-3939,63109,Gym,General Fitness
St. Louis Power Yoga,3210 S Grand Blvd,(314) 555-4040,63118,Studio,Hot Yoga
The Bar Method,6543 Delmar Blvd,(314) 555-4141,63130,Studio,Barre
Fitness 360,9876 Manchester Rd,(314) 555-4242,63119,Gym,Full-Service
St. Louis Krav Maga,1234 Brentwood Blvd,(314) 555-4343,63144,Martial Arts,Self-Defense
The Pilates Studio,5678 Clayton Rd,(314) 555-4444,63105,Studio,Pilates
St. Louis Boxing Hall,7890 N Broadway,(314) 555-4545,63102,Gym,Boxing
The Dailey Method,4321 Ladue Rd,(314) 555-4646,63124,Studio,Barre/Pilates
Fit City South County,8765 Telegraph Rd,(314) 555-4747,63123,Gym,Boutique Fitness
St. Louis Yoga Collective,5432 Cherokee St,(314) 555-4848,63118,Studio,Yoga
The Training Room,3210 Gravois Ave,(314) 555-4949,63118,Gym,Athletic Performance
St. Louis Bouldering Gym,1234 Chouteau Ave,(314) 555-5050,63103,Climbing Gym,Bouldering
Forest Park,5595 Grand Dr,N/A,63112,Park,"Zoo, museums, golf, boathouse"
Tower Grove Park,4257 Northeast Dr,N/A,63110,Park,"Pavilions, lily ponds, festivals"
Gateway Arch National Park,11 N 4th St,N/A,63102,Park,"Arch, riverfront, museum"
Carondelet Park,3890 Holly Hills Blvd,N/A,63116,Park,"Fishing, trails, recreation center"
Lafayette Park,3800 Lafayette Ave,N/A,63104,Park,"Duck pond, historic architecture"
Creve Coeur Park,13725 Marine Ave,N/A,63146,Park,"Boating, soccer fields, trails"
Kiener Plaza,500 Chestnut St,N/A,63101,Park,"Fountains, sculptures, events"
O'Fallon Park,4343 W Florissant Ave,N/A,63115,Park,"Pool, golf course, sports fields"
Benton Park,2900 Jefferson Ave,N/A,63118,Park,"Walking paths, historic district"
Willmore Park,1 Holmes Ave,N/A,63125,Park,"Fishing lake, off-leash area"
Tilles Park,9551 Litzsinger Rd,N/A,63124,Park,"Gardens, ice skating, lights"
Francis Park,5350 Donovan Ave,N/A,63109,Park,"Tennis courts, playground"
Jefferson Barracks Park,345 North Rd,N/A,63125,Park,"Civil War sites, river views"
Laumeier Sculpture Park,12580 Rott Rd,N/A,63127,Park,"Sculptures, nature trails"
Fairground Park,3715 Natural Bridge Ave,N/A,63107,Park,"Pool, basketball courts"
Marquette Park,4025 Minnesota Ave,N/A,63118,Park,"Picnic areas, playground"
Compton Hill Reservoir,2600 Russell Blvd,N/A,63104,Park,Panoramic skyline views
Castlewood State Park,1401 Kiefer Creek Rd,N/A,63011,Park,Meramec River trails
Babler State Park,800 Guy Park Dr,N/A,63005,Park,"Horse trails, wilderness"
Suson Park,6073 Wells Rd,N/A,63128,Park,"Petting zoo, fishing ponds"
Queeny Park,550 Weidman Rd,N/A,63011,Park,"Nature center, gardens"
Faust Park,15185 Olive Blvd,N/A,63017,Park,"Butterfly House, carousel"
Shaw Park,27 S Brentwood Blvd,N/A,63105,Park,"Pool, tennis center"
Simpson Park,800 Marshall Rd,N/A,63088,Park,"Walking trails, lake access"
Kirkwood Park,111 S Geyer Rd,N/A,63122,Park,"Ice rink, playground"
Lone Elk Park,1 Lone Elk Park Rd,N/A,63088,Park,Bison/elk herds
Bee Tree Park,2701 Finestown Rd,N/A,63129,Park,"River views, hiking"
Buder Park,3101 Finestown Rd,N/A,63129,Park,RC aircraft field
Al Foster Trail,2800 Old State Rd,N/A,63021,Park,Meramec River path
Cliff Cave Park,806 Cliff Cave Rd,N/A,63129,Park,"Bluffs, hiking trails"
Creve Coeur Lake Memorial,13725 Marine Ave,N/A,63146,Park,"Bike trail, water sports"
Greensfelder Park,3999 Rider Trl,N/A,63005,Park,"Camping, trails"
Lafayette Square Park,1800 Park Ave,N/A,63104,Park,"Historic homes, gardens"
Mathilda-Welmering Park,4500 S Broadway,N/A,63111,Park,Sports fields
Missouri Botanical Garden,4344 Shaw Blvd,N/A,63110,Park,"Climatron, Japanese Garden"
Penrose Park,4200 W Florissant Ave,N/A,63115,Park,"Cycling track, tennis"
River Des Peres Greenway,5500 Lansdowne Ave,N/A,63109,Park,Bike path
St. Vincent Park,7335 St. Charles Rock Rd,N/A,63133,Park,"Pool, athletic fields"
Sioux Passage Park,11901 Old Jamestown Rd,N/A,63138,Park,"Hiking, river views"
Tandy Park,4206 Minnesota Ave,N/A,63118,Park,Picnic shelters
Wilmore Park,1 Holmes Ave,N/A,63125,Park,"Lake, off-leash area"
Wabash Railroad Park,201 E Old State Rd,N/A,63021,Park,Scale model trains
Watson Trail Park,12400 W Watson Rd,N/A,63127,Park,"Playground, athletics"
Whitecliff Park,3545 Ponce De Leon Blvd,N/A,63125,Park,Hiking trails
Wildwood Park,2641 Finestown Rd,N/A,63129,Park,Forest conservation area
Wydown Park,6800 Wydown Blvd,N/A,63105,Park,Community gardens
Ruth Park,1519 N 13th St,N/A,63106,Park,Picnic areas
Gravois Park,3200 Potomac St,N/A,63118,Park,"Playground, basketball"
Hyde Park,3615 N 20th St,N/A,63107,Park,Historic monuments
Macklind Park,3800 Hartford St,N/A,63116,Park,"Splash pad, playground"
Busch Stadium,700 Clark Ave,(314) 345-9600,63102,Baseball,MLB Stadium
Enterprise Center,1401 Clark Ave,(314) 622-5400,63103,Multi-purpose,Arena (NHL)
The Dome at America's Center,901 N Broadway,(314) 342-5000,63101,Multi-purpose,Convention Center/Stadium
Chaifetz Arena,1 S Compton Ave,(314) 977-5000,63103,Basketball,University Arena (SLU)
Hermann Stadium,1 S Compton Ave,(314) 977-3170,63103,Soccer,University Stadium (SLU)
World Wide Technology Soccer Park,1 Soccer Park Rd,(636) 680-0997,63042,Soccer,Professional Soccer Complex
St. Louis Soccer Stadium,2024 S 8th St,(314) 588-5100,63104,Soccer,Training Facility
Robert R. Hermann Stadium,20 N Grand Blvd,(314) 977-3170,63103,Soccer,University Stadium
Shaw Park,27 S Brentwood Blvd,(314) 290-8500,63105,Baseball,Minor League Park
CarShield Field,900 T.R. Hughes Blvd,(636) 639-2137,63069,Baseball,Independent League Park
Gateway National Golf Links,18 Golf Dr,(618) 482-4653,62234,Golf,Public Golf Course
Family Arena,2002 Arena Pkwy,(636) 896-4200,63303,Multi-purpose,Arena (Minor League)
UMSL Touhill Performing Arts Center,1 Touhill Circle,(314) 516-4949,63121,Arts,Performing Arts Center
St. Mary's High School Stadium,4701 S Grand Blvd,(314) 481-8400,63111,Football,High School Stadium
Lindenwood Stadium,209 S Kingshighway,(636) 949-4433,63301,Football,University Stadium
Hunter Stadium,Lindenwood University,(636) 949-4433,63301,Track/Football,University Stadium
UMSL Field,1 University Blvd,(314) 516-4949,63121,Soccer,University Field
Harris-Stowe Field,3026 Laclede Ave,(314) 340-3366,63103,Multi-sport,University Field
Fontbonne Stadium,6800 Wydown Blvd,(314) 889-1400,63105,Soccer,University Stadium
Webster Groves Stadium,827 Selma Ave,(314) 963-6400,63119,Football,High School Stadium
CBC High School Stadium,1850 De La Salle Dr,(314) 985-6000,63141,Football,High School Stadium
Chaminade Stadium,425 S Lindbergh Blvd,(314) 993-4400,63131,Football,High School Stadium
DeSmet Jesuit Stadium,233 N New Ballas Rd,(314) 567-3500,63141,Football,High School Stadium
East St. Louis HS Stadium,4901 State St,(618) 646-2300,62205,Football,High School Stadium
Edwardsville Tiger Stadium,6161 Center Grove Rd,(618) 656-7100,62025,Football,High School Stadium
Kirkwood Stadium,801 W Essex Ave,(314) 213-6100,63122,Football,High School Stadium
Lafayette Lancers Stadium,17050 Clayton Rd,(636) 733-4100,63005,Football,High School Stadium
Maplewood-Richmond Stadium,7530 Manchester Rd,(314) 644-4400,63143,Football,High School Stadium
O’Fallon Township Stadium,600 S Smiley St,(618) 632-3507,62269,Football,High School Stadium
GCS Ballpark,900 GCS Ballpark Rd,(618) 337-3000,62206,Baseball,Independent League Park
Lou Fusz Soccer Park,1 Lou Fusz Plaza,(314) 291-8570,63045,Soccer,Soccer Complex
Creve Coeur Park Soccer Complex,13725 Marine Ave,(314) 615-8822,63146,Soccer,Soccer Complex
Vetta Sports Complex,1234 Old Dorsett Rd,(314) 291-8570,63045,Indoor Soccer,Indoor Sports Complex
ABC Stadium,1234 Rec Lane,(314) 615-8822,63123,Multi-sport,Recreational League Field
Old Busch Stadium,Formerly 250 Stadium Plaza,N/A,63102,Baseball,Former MLB Stadium (Demolished)
The Arena,Formerly 5700 Oakland Ave,N/A,63110,Multi-purpose,Former NHL Arena (Demolished)
Sportsman’s Park,Formerly 2911 N Grand Blvd,N/A,63107,Baseball,Former MLB/NFL Venue (Demolished)
T.R. Hughes Ballpark,900 T.R. Hughes Blvd,(636) 639-2137,63069,Baseball,Independent League Park
Principia Stadium,13201 Clayton Rd,(618) 374-5160,62223,Multi-sport,College Stadium
Maryville Univ. Field,650 Maryville University Dr,(314) 529-9300,63141,Soccer,University Field
Affton Athletic Association,9801 Mackenzie Rd,(314) 631-8539,63123,Multi-sport,Recreational Complex
Chesterfield Athletic Complex,17925 North Outer 40 Rd,(636) 537-4000,63005,Multi-sport,Recreational Complex
Soccer Park Heritage Fields,1 Soccer Park Rd,(636) 680-0997,63042,Soccer,Recreational Fields
Florissant Valley Soccer Park,3400 Pershall Rd,(314) 921-4250,63031,Soccer,Recreational Fields
St. Charles Community College Field,4601 Mid Rivers Mall Dr,(636) 922-8000,63376,Multi-sport,College Field
Rockwood Summit Stadium,1780 Hawkins Rd,(636) 891-6800,63026,Football,High School Stadium
Mehlville Stadium,3200 Lemay Ferry Rd,(314) 467-6000,63125,Football,High School Stadium
Oakville Stadium,5557 Milburn Rd,(314) 467-7000,63129,Football,High School Stadium
Pattonville Stadium,2497 Creve Coeur Mill Rd,(314) 213-8051,63146,Football,High School Stadium
Tony's,410 Market St,(314) 231-7007,63102,Restaurant,Italian (Fine Dining)
Sidney Street Cafe,2000 Sidney St,(314) 771-5777,63104,Restaurant,American (New)
Brasserie by Niche,4580 Laclede Ave,(314) 454-0600,63108,Restaurant,French
Vicia,4260 Forest Park Ave,(314) 553-9239,63108,Restaurant,Farm-to-Table
Olive + Oak,216 W Lockwood Ave,(314) 736-1370,63119,Restaurant,American (New)
The Crossing,7823 Forsyth Blvd,(314) 721-7375,63105,Restaurant,Fine Dining
Farmhaus,3257 Ivanhoe Ave,(314) 647-3800,63139,Restaurant,Farm-to-Table
Blood & Sand,1500 St Charles St,(314) 241-7263,63103,Restaurant,Steakhouse
Bulrush,3307 Washington Ave,(314) 449-1208,63103,Restaurant,Ozark Cuisine
Little Fox,2800 Shenandoah Ave,(314) 553-9455,63104,Restaurant,American (New)
Sardella,7734 Forsyth Blvd,(314) 773-7755,63105,Restaurant,Italian
Bellwether,141 N Meramec Ave,(314) 833-3933,63105,Restaurant,American (New)
Acero,7266 Manchester Rd,(314) 644-1790,63143,Restaurant,Italian
Elaia,1634 Tower Grove Ave,(314) 932-1088,63110,Restaurant,Mediterranean
Cinder House,1000 Sidney St,(314) 678-6383,63104,Restaurant,Latin American
Polite Society,1923 Park Ave,(314) 499-7555,63104,Restaurant,American (New)
The Lucky Accomplice,2501 Minnesota Ave,(314) 354-3525,63118,Restaurant,Modern American
Louie,706 De Mun Ave,(314) 727-1221,63105,Restaurant,Italian
Bowood by Niche,4605 Olive St,(314) 454-6868,63108,Restaurant,Farm-to-Table
The Benevolent King,7268 Manchester Rd,(314) 328-7999,63143,Restaurant,Mediterranean
Herbie's,8100 Maryland Ave,(314) 909-2333,63105,Restaurant,American
Cafe Napoli,7754 Forsyth Blvd,(314) 727-9400,63105,Restaurant,Italian
Gamlin Whiskey House,236 N Euclid Ave,(314) 875-9500,63108,Restaurant,American
Russell's on Macklind,5400 Murdoch Ave,(314) 781-4775,63109,Restaurant,American
The Tavern Kitchen & Bar,312 Market St,(314) 241-7770,63102,Restaurant,American
Juniper,4101 Laclede Ave,(314) 329-7696,63108,Restaurant,Southern
Peacemaker Lobster & Crab,1831 Sidney St,(314) 772-8858,63104,Restaurant,Seafood
Nixta,1621 Tower Grove Ave,(314) 899-9000,63110,Restaurant,Mexican
Katie's Pizza & Pasta,9568 Manchester Rd,(314) 942-6555,63119,Restaurant,Italian
Pastaria,7734 Forsyth Blvd,(314) 725-8222,63105,Restaurant,Italian
Retreat Gastropub,4 N Sarah St,(314) 329-3330,63108,Restaurant,Gastropub
The Clover and the Bee,3301 S Jefferson Ave,(314) 644-0840,63118,Restaurant,Vegetarian
Lazy Tiger,1901 Locust St,(314) 499-3100,63103,Restaurant,Cocktail Bar
The Fountain on Locust,3037 Locust St,(314) 535-7800,63103,Restaurant,American
Lona's Lil Eats,2199 California Ave,(314) 925-8938,63104,Restaurant,Asian Fusion
Indo,1641D Tower Grove Ave,(314) 925-5226,63110,Restaurant,Asian Fusion
Blue Ocean Sushi,4651 Maryland Ave,(314) 361-8888,63108,Restaurant,Japanese
The Shaved Duck,2900 Virginia Ave,(314) 776-1407,63118,Restaurant,BBQ
Balkan Treat Box,8103 Big Bend Blvd,(314) 899-9020,63119,Restaurant,Balkan
Mission Taco Joint,Multiple Locations,Varies,Varies,Restaurant,Mexican
Salt + Smoke,6525 Delmar Blvd,(314) 727-0200,63130,Restaurant,BBQ
Pappy's Smokehouse,3106 Olive St,(314) 535-4340,63103,Restaurant,BBQ
Sugarfire Smokehouse,Multiple Locations,Varies,Varies,Restaurant,BBQ
Frazier's,1812 Park Ave,(314) 865-9966,63104,Restaurant,Bar & Grill
The Mud House,2101 Cherokee St,(314) 776-8859,63118,Restaurant,Breakfast
Rooster,1104 Locust St,(314) 241-8118,63101,Restaurant,Breakfast
Southwest Diner,6803 Southwest Ave,(314) 832-1933,63143,Restaurant,Diner
Egg,2200 Gravois Ave,(314) 881-5419,63104,Restaurant,Breakfast
Half & Half,8135 Maryland Ave,(314) 725-0719,63105,Restaurant,Breakfast
Songbird,4476 Chouteau Ave,(314) 899-9066,63110,Restaurant,Breakfast
The Shack,2510 Sutton Blvd,(314) 781-5210,63143,Restaurant,American
The Piccadilly at Manhattan,1101 Manhattan Ave,(314) 776-7777,63139,Restaurant,British
Three Flags Tavern,4940 Southwest Ave,(314) 832-4894,63110,Restaurant,American
The Dam,6633 Clayton Rd,(314) 781-1234,63117,Restaurant,American
The Crow's Nest,7336 Manchester Rd,(314) 644-0740,63143,Restaurant,Pub
The Scottish Arms,8 S Sarah St,(314) 535-0551,63108,Restaurant,Scottish
The Royale,3132 S Kingshighway Blvd,(314) 772-3600,63139,Restaurant,American
The Gramophone,4243 Manchester Ave,(314) 531-5700,63110,Restaurant,Bar & Grill
The Tin Roof,1100 Washington Ave,(314) 241-1500,63101,Restaurant,Live Music Bar
The Blue Duck,2661 Sutton Blvd,(314) 872-2583,63143,Restaurant,American
The Boathouse,1 Grand Glaize Dr,(636) 529-4900,63021,Restaurant,Seafood
The Tavern,312 Market St,(314) 241-7770,63102,Restaurant,American
The Corner Pub & Grill,8035 Watson Rd,(314) 843-4477,63119,Restaurant,American
The Post Sports Bar,900 N 4th St,(314) 241-1999,63102,Restaurant,Sports Bar
The Hive,801 N 2nd St,(314) 241-8000,63102,Restaurant,Southern
The Mud House,2101 Cherokee St,(314) 776-8859,63118,Restaurant,Breakfast
The Buttery,3359 S Jefferson Ave,(314) 776-0010,63118,Restaurant,Bakery/Café
The Copper Pig,10405 Baur Blvd,(314) 736-6000,63132,Restaurant,BBQ
The Pat Connolly Tavern,6400 Oakland Ave,(314) 644-8888,63139,Restaurant,Irish Pub
The Hideaway,5901 Gravois Ave,(314) 352-2300,63116,Restaurant,Bar & Grill
The Heavy Anchor,5226 Gravois Ave,(314) 352-5226,63116,Restaurant,Music Bar
The Silver Ballroom,4701 Morganford Rd,(314) 832-9223,63116,Restaurant,Dive Bar
The Livery,1520 S 8th St,(314) 436-3200,63104,Restaurant,American
The Shanti,825 Allen Ave,(314) 932-1414,63104,Restaurant,Indian
The Taco Buddha,3160 Morganford Rd,(314) 352-8226,63116,Restaurant,Mexican
The Vine Café,2012 S 9th St,(314) 773-3999,63104,Restaurant,Mediterranean
The Purple Martin,2800 Shenandoah Ave,(314) 553-9455,63104,Restaurant,American (New)
The Lucky Accomplice,2501 Minnesota Ave,(314) 354-3525,63118,Restaurant,Modern American
The Bellwether,141 N Meramec Ave,(314) 833-3933,63105,Restaurant,American (New)
The Benevolent King,7268 Manchester Rd,(314) 328-7999,63143,Restaurant,Mediterranean
The Blueprint Coffee,6225 Delmar Blvd,(314) 266-4444,63130,Restaurant,Coffee
The Gelateria,3197 S Grand Blvd,(314) 776-1333,63118,Restaurant,Gelato
The Fountain on Locust,3037 Locust St,(314) 535-7800,63103,Restaurant,American
The Mud House,2101 Cherokee St,(314) 776-8859,63118,Restaurant,Breakfast
The Rooster,1104 Locust St,(314) 241-8118,63101,Restaurant,Breakfast
The Egg,2200 Gravois Ave,(314) 881-5419,63104,Restaurant,Breakfast
The Half & Half,8135 Maryland Ave,(314) 725-0719,63105,Restaurant,Breakfast
The Southwest Diner,6803 Southwest Ave,(314) 832-1933,63143,Restaurant,Diner
The Courtesy Diner,6693 Manchester Ave,(314) 644-6100,63139,Restaurant,Diner
The Eat-Rite Diner,622 Chouteau Ave,(314) 621-9621,63102,Restaurant,Diner
The White Knight Diner,3920 S Broadway,(314) 771-1133,63118,Restaurant,Diner
The Tiffany Diner,1520 S 8th St,(314) 231-8500,63104,Restaurant,Diner
The Majestic Café,4900 Laclede Ave,(314) 361-2011,63108,Restaurant,Diner
The City Diner,3139 S Grand Blvd,(314) 772-2233,63118,Restaurant,Diner
The Uncle Bill's Pancake House,3425 S Kingshighway Blvd,(314) 776-6090,63139,Restaurant,Breakfast
The Chris' Pancakes,3830 S Grand Blvd,(314) 352-5020,63118,Restaurant,Breakfast
The Original Pancake House,6823 Clayton Ave,(314) 721-1414,63139,Restaurant,Breakfast
The First Watch,Multiple Locations,Varies,Varies,Restaurant,Breakfast
The Shack Breakfast & Lunch,6269 Delmar Blvd,(314) 726-9900,63130,Restaurant,Breakfast
The Breakfast & Burger Co.,3197 S Grand Blvd,(314) 352-9222,63118,Restaurant,Breakfast
Thai Gai Yang,8138 S Lindbergh Blvd,(314) 849-7999,63125,Restaurant,Thai
King & I Thai Cuisine,3155 S Grand Blvd,(314) 776-5265,63118,Restaurant,Thai
Fork & Stix,3701 Grandel Square,(314) 925-0191,63108,Restaurant,Thai/Laotian
Sen Thai,3108 S Grand Blvd,(314) 352-1463,63118,Restaurant,Thai
Basil India,4659 Lindell Blvd,(314) 367-7844,63108,Restaurant,Indian
Himalayan Yeti,3600 Hampton Ave,(314) 781-2000,63139,Restaurant,Nepalese/Indian
Curry Club,8123 Olive Blvd,(314) 997-4444,63130,Restaurant,Indian
House of India,6344 Delmar Blvd,(314) 725-0222,63130,Restaurant,Indian
Sameem Afghan,4341 Manchester Ave,(314) 781-0729,63110,Restaurant,Afghan
Medina Grill,635 N Grand Blvd,(314) 289-9600,63103,Restaurant,Mediterranean
Sultan Mediterranean,4151 Manchester Ave,(314) 531-1818,63110,Restaurant,Mediterranean
The Vine,3161 S Grand Blvd,(314) 776-1388,63118,Restaurant,Lebanese
Ranoush,6501 Delmar Blvd,(314) 721-6699,63130,Restaurant,Middle Eastern
Al-Tarboush Deli,610 N 4th St,(314) 241-0400,63102,Restaurant,Middle Eastern
Meskerem Ethiopian,3210 S Grand Blvd,(314) 771-2626,63118,Restaurant,Ethiopian
Queen of Sheba,6665 Delmar Blvd,(314) 727-5100,63130,Restaurant,Ethiopian
Truc Lam,4071 Manchester Ave,(314) 531-4787,63110,Restaurant,Vietnamese
Pho Grand,3195 S Grand Blvd,(314) 776-8899,63118,Restaurant,Vietnamese
Mai Lee,8396 Musick Memorial Dr,(314) 890-8888,63144,Restaurant,Vietnamese
